input1,input2,y_true_1,y_true_2,model1_out1,model1_out2,model2_out1,model2_out2
5.0,0.5,-0.3708694767197205,-3.0184348751942043,-1.174822504084001,-3.3615142185943836,-1.8604896931602908,-4.865248637080032
5.0,0.6000000000000001,-0.32812844658612994,-3.492900205846354,-1.1102852907609564,-3.390018541832966,-1.7937060075068088,-4.9038645479244245
5.0,0.7000000000000001,-0.2880957094518408,-3.8968810031966687,-1.069244214898493,-3.4138800959531124,-1.7437545677324815,-4.9318804725059255
5.0,0.8,-0.2502738237455529,-4.218629845028181,-1.0525895903994154,-3.432979536871899,-1.7113839189554723,-4.949095963073012
5.0,0.9,-0.2142801421047274,-4.446399309123916,-1.0606854074224943,-3.4472222222517646,-1.69708348731541,-4.955387832599528
5.0,1.0,-0.1798155038641069,-4.568441973266903,-1.0933561084370975,-3.456538992155683,-1.7010712685185312,-4.950711623220295
6.0,0.0,-0.7099236580887152,-0.0,-3.3108128110820148,-1.7016881105593413,-1.5479946671168694,-4.347164984937565
6.0,0.1,-0.6313249673717503,-0.6487708089797307,-3.250474986300892,-1.7447534532990656,-1.363907594521931,-4.433408102091381
6.0,0.2,-0.5633587738381417,-1.2858286043570186,-3.195833624906945,-1.7864899530252984,-1.1918651895957755,-4.511635618093596
6.0,0.30000000000000004,-0.5032105929393539,-1.8994603725294221,-3.1479500928997917,-1.826691493558753,-1.0341788038319617,-4.581311980147599
6.0,0.4,-0.44897874592637654,-2.4779530998944974,-3.107785566209282,-1.865157962194018,-0.8930312069283604,-4.641954186459867
6.0,0.5,-0.3993320576749022,-3.0095937728498035,-3.076169046761459,-1.9016969089951505,-0.7704265163084685,-4.69313735859473
6.0,0.6000000000000001,-0.3533108437929884,-3.4826693777928974,-3.053768948053059,-1.9361251503584163,-0.6681429509975993,-4.734499697584287
6.0,0.7000000000000001,-0.3102057723387646,-3.8854669011213354,-3.041069608647948,-1.9682702989601981,-0.5876899632209724,-4.765746741753278
6.0,0.8,-0.2694812253153082,-4.206273329232676,-3.0383538858148778,-1.9979722015956793,-0.5302711902525425,-4.786654858143232
6.0,0.9,-0.2307251888788324,-4.433375648524478,-3.045692702913234,-2.02508426782384,-0.49675449714198816,-4.797073907506783
6.0,1.0,-0.1936155431151041,-4.555060845394296,-3.0629420882331573,-2.0494746752964246,-0.4876501520711729,-4.796929039659602
7.0,0.0,-0.7635657599657182,-0.0,-3.636518205477752,-0.270268284490624,-1.505859984823978,-3.8405962734964363
7.0,0.1,-0.6790281222552279,-0.6465256307327332,-3.6270282319179077,-0.3116798883409108,-1.320122515881713,-3.918618220741483
7.0,0.2,-0.6059263772631183,-1.281378782675908,-3.62292500577661,-0.3541751125753243,-1.1465017149127439,-3.989756928494399
